introspection_created,introspection_running,introspection_finished,execution_created,execution_running,execution_finished,entanglement_score,execution_counts
2025-06-07T02:22:08.162Z,2025-06-07T02:22:10.950Z,2025-06-07T02:22:15.280Z,2025-06-07T02:22:18.956Z,2025-06-07T02:22:21.452Z,2025-06-07T02:22:23.946Z,2.587890625,"{""11"": 489, ""00"": 532, ""10"": 3}"
2025-06-07T02:37:30.171Z,2025-06-07T02:37:33.381Z,2025-06-07T02:37:36.155Z,2025-06-07T02:37:40.235Z,2025-06-07T02:37:42.757Z,2025-06-07T02:37:45.524Z,2.56640625,"{""00"": 477, ""11"": 541, ""10"": 2, ""01"": 4}"
2025-06-07T02:52:51.540Z,2025-06-07T02:52:54.340Z,2025-06-07T02:52:58.337Z,2025-06-07T02:53:02.004Z,2025-06-07T02:53:05.050Z,2025-06-07T02:53:07.913Z,2.5859375,"{""00"": 499, ""11"": 515, ""01"": 4, ""10"": 6}"
2025-06-07T03:08:15.141Z,2025-06-07T03:08:17.501Z,2025-06-07T03:08:20.388Z,2025-06-07T03:08:25.131Z,2025-06-07T03:08:27.939Z,2025-06-07T03:08:30.748Z,2.5390625,"{""10"": 7, ""01"": 4, ""11"": 512, ""00"": 501}"
2025-06-07T03:23:36.841Z,2025-06-07T03:23:39.699Z,2025-06-07T03:23:45.080Z,2025-06-07T03:23:48.915Z,2025-06-07T03:23:51.971Z,2025-06-07T03:24:13.583Z,2.5625,"{""00"": 504, ""11"": 515, ""10"": 4, ""01"": 1}"
2025-06-07T03:39:20.027Z,2025-06-07T03:39:22.821Z,2025-06-07T03:39:26.957Z,2025-06-07T03:39:31.593Z,2025-06-07T03:39:34.307Z,2025-06-07T03:39:36.705Z,2.548828125,"{""11"": 521, ""00"": 497, ""01"": 3, ""10"": 3}"
2025-06-07T03:54:42.969Z,2025-06-07T03:54:45.644Z,2025-06-07T03:54:49.658Z,2025-06-07T03:54:55.405Z,2025-06-07T03:54:58.374Z,2025-06-07T03:55:01.040Z,2.560546875,"{""00"": 492, ""11"": 523, ""10"": 6, ""01"": 3}"
2025-06-07T04:10:07.897Z,2025-06-07T04:10:10.713Z,2025-06-07T04:10:13.665Z,2025-06-07T04:10:17.249Z,2025-06-07T04:10:21.721Z,2025-06-07T04:10:26.233Z,2.515625,"{""10"": 5, ""11"": 506, ""00"": 512, ""01"": 1}"
2025-06-07T04:25:33.400Z,2025-06-07T04:25:36.404Z,2025-06-07T04:25:39.209Z,2025-06-07T04:25:43.168Z,2025-06-07T04:25:45.958Z,2025-06-07T04:25:48.519Z,2.439453125,"{""10"": 4, ""11"": 488, ""00"": 525, ""01"": 7}"
2025-06-07T04:40:54.229Z,2025-06-07T04:40:57.038Z,2025-06-07T04:40:59.687Z,2025-06-07T04:41:04.060Z,2025-06-07T04:41:06.758Z,2025-06-07T04:41:09.301Z,2.509765625,"{""11"": 481, ""00"": 535, ""01"": 3, ""10"": 5}"
2025-06-07T04:56:15.754Z,2025-06-07T04:56:18.019Z,2025-06-07T04:56:20.963Z,2025-06-07T04:56:25.682Z,2025-06-07T04:56:28.244Z,2025-06-07T04:56:31.128Z,2.466796875,"{""10"": 9, ""11"": 509, ""00"": 504, ""01"": 2}"
2025-06-07T05:11:36.682Z,2025-06-07T05:11:41.173Z,2025-06-07T05:11:46.535Z,2025-06-07T05:11:50.651Z,2025-06-07T05:11:53.466Z,2025-06-07T05:11:56.100Z,2.603515625,"{""00"": 504, ""11"": 505, ""01"": 5, ""10"": 10}"
2025-06-07T05:27:02.506Z,2025-06-07T05:27:05.388Z,2025-06-07T05:27:08.017Z,2025-06-07T05:27:12.812Z,2025-06-07T05:27:15.727Z,2025-06-07T05:27:18.872Z,2.5234375,"{""11"": 472, ""00"": 542, ""10"": 8, ""01"": 2}"
2025-06-07T05:42:25.519Z,2025-06-07T05:42:28.302Z,2025-06-07T05:42:31.102Z,2025-06-07T05:42:35.012Z,2025-06-07T05:42:37.763Z,2025-06-07T05:42:40.395Z,2.42578125,"{""10"": 12, ""00"": 501, ""11"": 503, ""01"": 8}"
2025-06-07T05:57:46.552Z,2025-06-07T05:57:49.313Z,2025-06-07T05:57:51.979Z,2025-06-07T05:57:55.409Z,2025-06-07T05:57:57.930Z,2025-06-07T05:58:00.444Z,2.626953125,"{""01"": 10, ""11"": 514, ""00"": 492, ""10"": 8}"
2025-06-07T06:13:07.058Z,2025-06-07T06:13:09.892Z,2025-06-07T06:13:12.502Z,2025-06-07T06:13:17.363Z,2025-06-07T06:13:20.449Z,2025-06-07T06:13:23.532Z,2.54296875,"{""00"": 489, ""11"": 522, ""10"": 8, ""01"": 5}"
2025-06-07T06:28:30.154Z,2025-06-07T06:28:32.917Z,2025-06-07T06:29:07.249Z,2025-06-07T06:29:10.553Z,2025-06-07T06:29:13.886Z,2025-06-07T06:29:16.438Z,2.603515625,"{""10"": 5, ""11"": 518, ""00"": 494, ""01"": 7}"
2025-06-07T06:44:22.794Z,2025-06-07T06:44:25.829Z,2025-06-07T06:44:28.502Z,2025-06-07T06:44:31.983Z,2025-06-07T06:44:34.925Z,2025-06-07T06:44:37.648Z,2.5234375,"{""11"": 490, ""00"": 525, ""10"": 4, ""01"": 5}"
2025-06-07T06:59:43.793Z,2025-06-07T06:59:46.076Z,2025-06-07T06:59:49.159Z,2025-06-07T06:59:53.330Z,2025-06-07T06:59:55.921Z,2025-06-07T06:59:58.692Z,2.564453125,"{""01"": 6, ""00"": 528, ""11"": 484, ""10"": 6}"
2025-06-07T07:15:04.384Z,2025-06-07T07:15:06.861Z,2025-06-07T07:15:09.575Z,2025-06-07T07:15:14.175Z,2025-06-07T07:15:16.730Z,2025-06-07T07:15:19.129Z,2.591796875,"{""10"": 11, ""00"": 519, ""11"": 491, ""01"": 3}"
2025-06-07T07:30:24.993Z,2025-06-07T07:30:27.184Z,2025-06-07T07:30:30.455Z,2025-06-07T07:30:33.702Z,2025-06-07T07:30:36.368Z,2025-06-07T07:30:39.392Z,2.484375,"{""11"": 523, ""00"": 488, ""01"": 6, ""10"": 7}"
2025-06-07T07:45:45.126Z,2025-06-07T07:45:47.814Z,2025-06-07T07:45:50.493Z,2025-06-07T07:45:54.997Z,2025-06-07T07:45:57.913Z,2025-06-07T07:46:00.745Z,2.51171875,"{""10"": 4, ""00"": 518, ""11"": 496, ""01"": 6}"
2025-06-07T08:01:06.230Z,2025-06-07T08:01:08.837Z,2025-06-07T08:01:13.418Z,2025-06-07T08:01:17.629Z,2025-06-07T08:01:20.341Z,2025-06-07T08:01:23.240Z,2.451171875,"{""00"": 534, ""11"": 478, ""10"": 8, ""01"": 4}"
2025-06-07T08:16:30.187Z,2025-06-07T08:16:32.878Z,2025-06-07T08:16:35.366Z,2025-06-07T08:16:40.137Z,2025-06-07T08:16:42.836Z,2025-06-07T08:16:45.814Z,2.580078125,"{""00"": 520, ""11"": 494, ""01"": 4, ""10"": 6}"
2025-06-07T08:31:52.136Z,2025-06-07T08:31:54.959Z,2025-06-07T08:31:57.820Z,2025-06-07T08:32:02.226Z,2025-06-07T08:32:05.620Z,2025-06-07T08:32:08.299Z,2.60546875,"{""10"": 8, ""11"": 512, ""00"": 498, ""01"": 6}"
2025-06-07T08:47:14.322Z,2025-06-07T08:47:17.379Z,2025-06-07T08:47:20.311Z,2025-06-07T08:47:23.794Z,2025-06-07T08:47:26.993Z,2025-06-07T08:47:29.671Z,2.634765625,"{""10"": 7, ""00"": 541, ""01"": 7, ""11"": 469}"
2025-06-07T09:02:35.891Z,2025-06-07T09:02:38.782Z,2025-06-07T09:02:42.774Z,2025-06-07T09:02:47.176Z,2025-06-07T09:02:50.166Z,2025-06-07T09:02:52.542Z,2.4296875,"{""00"": 560, ""11"": 458, ""10"": 4, ""01"": 2}"
2025-06-07T09:17:58.123Z,2025-06-07T09:18:00.998Z,2025-06-07T09:18:03.760Z,2025-06-07T09:18:07.907Z,2025-06-07T09:18:10.616Z,2025-06-07T09:18:13.212Z,2.37890625,"{""00"": 528, ""11"": 488, ""10"": 8}"
2025-06-07T09:33:20.157Z,2025-06-07T09:33:22.891Z,2025-06-07T09:33:27.007Z,2025-06-07T09:33:31.951Z,2025-06-07T09:33:34.694Z,2025-06-07T09:33:37.252Z,2.63671875,"{""10"": 4, ""11"": 535, ""00"": 479, ""01"": 6}"
2025-06-07T09:48:43.533Z,2025-06-07T09:48:46.193Z,2025-06-07T09:48:49.175Z,2025-06-07T09:48:53.579Z,2025-06-07T09:48:56.180Z,2025-06-07T09:48:58.803Z,2.55078125,"{""11"": 498, ""00"": 521, ""10"": 4, ""01"": 1}"
2025-06-07T10:04:04.799Z,2025-06-07T10:04:07.450Z,2025-06-07T10:04:22.611Z,2025-06-07T10:04:26.163Z,2025-06-07T10:04:28.934Z,2025-06-07T10:04:45.560Z,2.625,"{""10"": 4, ""00"": 502, ""11"": 515, ""01"": 3}"
2025-06-07T10:19:51.238Z,2025-06-07T10:19:54.045Z,2025-06-07T10:19:56.927Z,2025-06-07T10:20:02.050Z,2025-06-07T10:20:04.895Z,2025-06-07T10:20:07.674Z,2.427734375,"{""01"": 3, ""00"": 529, ""11"": 487, ""10"": 5}"
